school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Nanyang,2015,29,45,20,21,19,21,1
Naval Base,2015,0,46,63,126,0,46,0
New Town,2015,0,90,73,147,0,88,0
Ngee Ann,2015,31,83,54,79,29,79,1
North Spring,2015,0,52,85,171,0,52,0
North View,2015,0,103,55,109,0,102,0
North Vista,2015,10,127,69,129,9,127,0
Northland,2015,26,160,53,80,26,80,1
Northoaks,2015,0,65,73,145,0,65,0
Oasis,2015,1,118,105,209,1,118,0
Opera Estate,2015,5,80,53,101,5,80,0
Palm View,2015,6,119,79,153,4,119,0
Park View,2015,1,42,68,135,1,42,0
Pasir Ris,2015,23,70,37,52,22,52,1
Paya Lebar Methodist Girls’,2015,55,111,74,95,53,95,1
Pei Chun Public,2015,36,76,52,73,31,73,1
Pei Hwa Presbyterian,2015,48,69,50,56,44,56,1
Pei Tong,2015,2,70,66,129,2,70,0
Peiying,2015,0,50,52,105,0,50,0
Pioneer,2015,0,39,79,157,0,39,0
Poi Ching,2015,34,120,58,81,34,81,1
Princess Elizabeth,2015,1,103,48,96,0,96,1
Punggol,2015,1,124,62,123,0,123,1
Punggol Cove,2015,1,54,105,209,1,54,0
Punggol Green,2015,0,233,92,183,0,183,1
Punggol View,2015,6,180,81,155,6,155,1
Qifa,2015,9,130,65,122,7,122,1
Qihua,2015,2,64,65,127,2,64,0
Queenstown,2015,1,94,87,173,1,94,0
Radin Mas,2015,20,94,45,72,18,72,1
Raffles Girls’,2015,20,114,52,90,14,90,1
Red Swastika,2015,14,51,21,29,13,29,1
River Valley,2015,21,77,40,66,14,66,1
Riverside,2015,6,162,84,162,6,162,0
Rivervale,2015,34,137,61,87,34,87,1
Rosyth,2015,39,90,37,37,36,37,1
Rulang,2015,27,54,22,21,22,21,1
Sembawang,2015,0,46,77,154,0,44,0
Seng Kang,2015,0,66,77,155,0,66,0
Sengkang Green,2015,12,297,71,130,11,130,1
Shuqun,2015,25,114,64,104,23,104,1
Si Ling,2015,0,36,71,142,0,36,0
Singapore Chinese Girls’,2015,27,82,45,63,27,63,1
South View,2015,26,107,39,56,22,56,1
Springdale,2015,2,104,89,175,2,104,0
St. Andrew’s Junior,2015,67,77,64,65,62,65,1
St. Anthony’s,2015,43,89,60,77,42,77,1
St. Anthony’s Canossian,2015,22,56,73,124,22,56,0
St. Gabriel’s,2015,27,56,53,81,24,56,0
St. Hilda’s,2015,50,107,44,44,43,44,1
St. Joseph’s Institution Junior,2015,72,83,57,61,52,61,1
St. Margaret’s,2015,38,110,69,101,37,101,1
St. Stephen’s,2015,35,82,56,78,34,78,1
Stamford,2015,0,35,51,103,0,35,0
Tampines,2015,4,120,50,102,0,102,1
Tampines North,2015,0,85,70,139,0,85,0
Tanjong Katong,2015,0,93,58,121,0,92,0
Tao Nan,2015,58,63,28,31,24,31,1
Teck Ghee,2015,6,136,73,140,5,135,0
Teck Whye,2015,0,39,60,121,0,39,0
Telok Kurau,2015,0,81,59,118,0,80,0
Temasek,2015,29,54,31,36,26,36,1
Townsville,2015,1,48,69,138,0,48,0
Unity,2015,4,109,69,135,3,109,0
Waterway,2015,0,43,105,210,0,43,0
Wellington,2015,2,82,61,120,1,82,0
West Grove,2015,15,112,57,98,15,98,1
West Spring,2015,5,180,100,194,5,180,0
West View,2015,0,53,63,126,0,53,0
Westwood,2015,8,171,75,142,8,142,1
White Sands,2015,15,88,46,78,14,78,1
Woodgrove,2015,15,108,64,115,12,107,0
Woodlands,2015,4,99,49,96,2,96,1
Woodlands Ring,2015,0,90,66,133,0,90,0
Xinghua,2015,1,46,78,155,0,46,0
Xingnan,2015,5,97,67,132,2,97,0
Xinmin,2015,7,60,29,52,6,52,1
Xishan,2015,0,53,59,119,0,53,0
Yangzheng,2015,20,84,50,81,19,81,1
Yew Tee,2015,17,90,51,85,16,85,1
Yio Chu Kang,2015,1,58,63,126,0,57,0
Yishun,2015,1,75,67,132,1,75,0
Yu Neng,2015,10,48,23,39,7,39,1
Yuhua,2015,0,42,85,170,0,42,0
Yumin,2015,0,44,48,96,0,44,0
Zhangde,2015,20,120,61,107,15,107,1
Zhenghua,2015,1,88,53,104,1,88,0
Zhonghua,2015,0,33,55,109,0,33,0
Admiralty,2016,30,95,60,92,27,92,1
Ahmad Ibrahim,2016,1,47,61,121,0,47,0
Ai Tong,2016,36,56,35,37,33,37,1
Alexandra,2016,3,147,68,132,3,132,1
Anchor Green,2016,0,93,84,168,0,92,0
Anderson,2016,19,80,45,73,17,73,1
Ang Mo Kio,2016,0,57,60,121,0,57,0
Anglo-Chinese (Junior),2016,79,65,50,49,50,49,1
Anglo-Chinese (Primary),2016,27,27,21,20,21,20,1
Angsana,2016,0,13,45,90,0,13,0
Beacon,2016,0,69,60,121,0,69,0
Bedok Green,2016,1,44,69,137,0,44,0
Bendemeer,2016,0,58,60,119,0,58,0
Blangah Rise,2016,0,16,48,95,0,15,0
Boon Lay Garden,2016,0,40,71,142,0,40,0
Bukit Panjang,2016,1,103,46,92,0,92,1
Bukit Timah,2016,0,52,66,131,0,52,0
Bukit View,2016,0,46,57,115,0,46,0
CHIJ (Katong),2016,24,67,57,93,20,67,0
CHIJ (Kellock),2016,17,87,68,120,15,87,0
CHIJ (Toa Payoh),2016,64,66,46,53,38,53,1
CHIJ Our Lady Queen of Peace,2016,22,55,67,112,21,55,0
CHIJ Our Lady of Good Counsel,2016,21,41,50,81,18,41,0
CHIJ Our Lady of the Nativity,2016,50,104,74,101,47,101,1
CHIJ St. Nicholas Girls’,2016,32,34,27,29,25,29,1
Canberra,2016,44,101,52,60,44,60,1
Canossa Catholic,2016,5,16,52,99,5,16,0
Cantonment,2016,1,68,68,135,0,68,0
Casuarina,2016,0,34,43,85,0,34,0
Catholic High,2016,28,30,22,22,22,22,1
Cedar,2016,0,31,38,76,0,30,0
Changkat,2016,0,80,45,89,0,80,0
Chongfu,2016,49,111,66,84,48,84,1
Chongzheng,2016,18,73,41,64,18,64,1
Chua Chu Kang,2016,3,128,42,80,3,80,1
Clementi,2016,3,84,69,137,1,84,0
Compassvale,2016,21,142,70,121,19,121,1
Concord,2016,0,94,70,140,0,94,0
Corporation,2016,0,65,61,122,0,65,0
Damai,2016,0,14,44,88,0,14,0
Dazhong,2016,0,50,46,92,0,49,0
De La Salle,2016,24,119,80,136,23,119,0
East Spring,2016,1,66,58,115,0,66,0
Edgefield,2016,1,110,66,131,1,109,0
Elias Park,2016,0,93,56,111,0,93,0
Endeavour,2016,9,93,60,111,9,92,0
Eunos,2016,0,22,55,110,0,22,0
Evergreen,2016,2,113,58,114,2,113,0
Fairfield Methodist,2016,34,40,23,28,18,28,1
Farrer Park,2016,0,23,45,89,0,23,0
Fengshan,2016,6,103,54,103,4,103,0
Fernvale,2016,1,88,81,162,0,88,0
First Toa Payoh,2016,0,14,73,146,0,14,0
Frontier,2016,18,132,74,130,18,130,1
Fuchun,2016,2,93,38,75,0,75,1
Fuhua,2016,0,70,53,108,0,70,0
Gan Eng Seng,2016,0,55,66,133,0,54,0
Geylang Methodist,2016,7,125,80,154,5,124,0
Gongshang,2016,18,75,37,59,14,59,1
Greendale,2016,0,73,81,161,0,73,0
Greenridge,2016,2,105,74,145,2,105,0
Greenwood,2016,2,72,66,130,1,72,0
Guangyang,2016,0,23,59,119,0,23,0
Haig Girls’,2016,11,91,50,89,10,89,1
Henry Park,2016,18,50,21,25,17,25,1
Holy Innocents’,2016,36,82,58,91,25,82,0
Hong Wen,2016,30,92,53,80,26,80,1
Horizon,2016,20,111,51,84,17,84,1
Hougang,2016,17,108,60,102,17,102,1
Huamin,2016,0,103,49,99,0,99,1
Innova,2016,20,126,69,119,19,119,1
Jiemin,2016,5,78,54,102,5,78,0
Jing Shan,2016,0,62,45,89,0,62,0
Junyuan,2016,0,74,59,118,0,73,0
Jurong,2016,0,101,57,115,0,101,0
Jurong West,2016,8,122,69,130,8,122,0
Juying,2016,0,10,61,122,0,9,0
Keming,2016,17,120,56,97,15,97,1
Kheng Cheng,2016,0,138,68,138,0,138,0
Kong Hwa,2016,51,69,52,54,49,54,1
Kranji,2016,0,12,57,115,0,12,0
Kuo Chuan Presbyterian,2016,32,108,62,96,27,96,1
Lakeside,2016,0,138,68,135,0,135,1
Lianhua,2016,0,25,52,103,0,24,0
Maha Bodhi,2016,37,106,65,96,34,96,1
Maris Stella High,2016,63,64,58,59,57,59,1
Marsiling,2016,2,59,68,134,1,58,0
Marymount Convent,2016,16,49,67,119,15,49,0
Mayflower,2016,1,44,59,120,0,44,0
Mee Toh,2016,44,149,77,113,41,113,1
Meridian,2016,0,36,34,68,0,36,0
Methodist Girls’,2016,60,78,44,44,43,44,1
Montfort Junior,2016,6,20,49,92,6,20,0
Nan Chiau,2016,67,183,70,74,66,74,1
Nan Hua,2016,10,81,25,45,5,45,1
Nanyang,2016,26,49,20,21,19,21,1
Naval Base,2016,0,59,68,137,0,59,0
New Town,2016,0,46,81,161,0,46,0
Ngee Ann,2016,19,101,54,92,15,92,1
North Spring,2016,0,64,89,177,0,64,0
North View,2016,0,106,52,103,0,103,1
North Vista,2016,7,108,82,160,4,108,0
Northland,2016,25,160,41,57,24,57,1
Northoaks,2016,0,46,57,114,0,46,0
Oasis,2016,0,186,109,217,0,185,0
Opera Estate,2016,12,71,56,104,7,70,0
Palm View,2016,4,119,80,156,4,118,0
Park View,2016,0,39,48,96,0,38,0
Pasir Ris,2016,23,89,46,70,22,70,1
Paya Lebar Methodist Girls’,2016,54,115,79,110,48,110,1
Pei Chun Public,2016,28,97,57,92,22,92,1
Pei Hwa Presbyterian,2016,47,44,33,41,24,41,1
Pei Tong,2016,3,68,55,107,2,68,0
Peiying,2016,0,52,56,113,0,52,0
Pioneer,2016,0,27,72,145,0,26,0
Poi Ching,2016,34,111,68,104,31,104,1
Princess Elizabeth,2016,0,110,44,91,0,91,1
Punggol,2016,3,106,68,133,2,106,0
Punggol Cove,2016,0,113,117,233,0,112,0
Punggol Green,2016,1,258,78,154,1,154,1
Punggol View,2016,3,165,71,139,2,139,1
Qifa,2016,9,112,48,90,6,90,1
Qihua,2016,0,47,65,130,0,47,0
Queenstown,2016,0,120,77,155,0,120,0
Radin Mas,2016,16,100,48,86,9,86,1
Raffles Girls’,2016,22,135,62,107,17,107,1
Red Swastika,2016,13,83,43,76,9,76,1
River Valley,2016,22,120,54,92,16,92,1
Riverside,2016,0,133,64,128,0,128,1
Rivervale,2016,21,140,73,126,19,126,1
Rosyth,2016,27,87,46,66,26,66,1
Rulang,2016,27,73,28,29,26,29,1
Sembawang,2016,0,79,60,119,0,79,0
Seng Kang,2016,1,54,74,147,1,54,0
Sengkang Green,2016,21,297,77,133,21,133,1
Shuqun,2016,20,122,63,107,18,107,1
Si Ling,2016,0,39,60,120,0,39,0
Singapore Chinese Girls’,2016,23,60,37,51,22,51,1
South View,2016,14,135,43,71,14,71,1
Springdale,2016,0,110,82,163,0,110,0
St. Andrew’s Junior,2016,67,70,57,63,51,63,1
St. Anthony’s,2016,25,103,58,93,23,93,1
St. Anthony’s Canossian,2016,23,59,79,136,22,59,0
St. Gabriel’s,2016,24,34,53,83,23,34,0
St. Hilda’s,2016,53,111,51,52,49,52,1
St. Joseph’s Institution Junior,2016,74,88,58,60,56,60,1
St. Margaret’s,2016,34,81,67,105,29,81,0
St. Stephen’s,2016,33,64,72,112,32,64,0
Stamford,2016,0,30,57,113,0,29,0
Tampines,2016,3,72,35,71,0,71,1
Tampines North,2016,0,51,58,115,0,50,0
Tanjong Katong,2016,0,99,60,125,0,97,0
Tao Nan,2016,48,73,45,48,42,48,1
Teck Ghee,2016,5,110,51,97,4,97,1
Teck Whye,2016,0,31,68,136,0,30,0
Telok Kurau,2016,1,84,50,99,1,84,0
Temasek,2016,22,84,45,73,16,73,1
Townsville,2016,0,42,68,136,0,42,0
Unity,2016,3,89,58,113,3,89,0
Waterway,2016,0,100,115,230,0,100,0
Wellington,2016,0,76,65,129,0,76,0
West Grove,2016,18,132,67,116,17,116,1
West Spring,2016,5,180,87,170,4,170,1
West View,2016,0,38,58,116,0,37,0
Westwood,2016,9,153,81,152,9,152,1
White Sands,2016,18,88,49,79,18,79,1
Woodgrove,2016,9,105,61,115,7,105,0
Woodlands,2016,5,85,48,91,4,85,0
Woodlands Ring,2016,1,81,56,110,1,81,0
Xinghua,2016,0,42,52,105,0,42,0
Xingnan,2016,7,70,49,93,5,70,0
Xinmin,2016,12,97,51,91,11,91,1
Xishan,2016,0,41,59,119,0,41,0
Yangzheng,2016,14,91,49,90,7,90,1
Yew Tee,2016,8,71,57,109,4,71,0
Yio Chu Kang,2016,0,29,63,126,0,28,0
Yishun,2016,0,76,56,113,0,75,0
Yu Neng,2016,10,59,31,55,7,55,1
Yuhua,2016,1,26,59,116,1,26,0
Yumin,2016,0,28,47,94,0,28,0
Zhangde,2016,1,120,74,149,0,119,0
Zhenghua,2016,1,85,56,112,0,85,0
Zhonghua,2016,0,17,50,101,0,17,0
Admiralty,2017,35,91,57,78,35,78,1
Ahmad Ibrahim,2017,0,49,65,129,0,49,0
Ai Tong,2017,35,45,29,33,25,33,1
Alexandra,2017,2,161,65,127,2,127,1
Anchor Green,2017,1,69,71,143,0,69,0
Anderson,2017,20,58,32,48,16,48,1
Ang Mo Kio,2017,0,47,77,156,0,47,0
Anglo-Chinese (Junior),2017,56,67,51,50,51,50,1
Anglo-Chinese (Primary),2017,46,46,40,39,40,39,1
Angsana,2017,0,9,61,121,0,9,0
Beacon,2017,1,74,63,127,0,73,0
Bedok Green,2017,0,56,41,84,0,56,0
Bendemeer,2017,0,42,65,131,0,42,0
Blangah Rise,2017,0,16,53,107,0,14,0
Boon Lay Garden,2017,0,48,48,97,0,48,0
Bukit Panjang,2017,14,96,44,75,12,75,1
Bukit Timah,2017,0,59,61,124,0,59,0
Bukit View,2017,1,65,54,110,0,65,0
CHIJ (Katong),2017,22,56,62,102,21,55,0
CHIJ (Kellock),2017,23,77,65,108,22,77,0
CHIJ (Toa Payoh),2017,57,57,39,38,39,38,1
CHIJ Our Lady Queen of Peace,2017,20,69,69,121,16,69,0
CHIJ Our Lady of Good Counsel,2017,14,58,54,94,14,58,0
CHIJ Our Lady of the Nativity,2017,54,100,73,93,52,93,1
CHIJ St. Nicholas Girls’,2017,28,35,21,26,15,26,1
Canberra,2017,61,90,47,47,46,47,1
Canossa Catholic,2017,2,24,54,107,1,24,0
Cantonment,2017,1,64,70,141,0,64,0
Casuarina,2017,0,85,38,77,0,77,1
Catholic High,2017,27,38,24,25,23,25,1
Cedar,2017,3,37,39,75,3,37,0
Changkat,2017,0,59,61,121,0,59,0
Chongfu,2017,51,97,52,53,51,53,1
Chongzheng,2017,11,84,42,72,11,72,1
Chua Chu Kang,2017,9,129,51,93,8,93,1
Clementi,2017,1,84,66,133,0,84,0
Compassvale,2017,16,139,68,120,16,120,1
Concord,2017,3,97,44,86,1,86,1
Corporation,2017,1,67,66,131,0,67,0
Damai,2017,0,28,35,69,0,27,0
Dazhong,2017,0,35,39,77,0,35,0
De La Salle,2017,26,133,82,137,26,133,0
East Spring,2017,0,65,55,109,0,65,0
Edgefield,2017,1,90,85,172,0,90,0
Elias Park,2017,0,119,57,114,0,114,1
Endeavour,2017,2,88,59,116,1,88,0
Eunos,2017,0,26,55,109,0,25,0
Evergreen,2017,3,109,56,109,3,109,0
Fairfield Methodist,2017,26,47,29,34,24,34,1
Farrer Park,2017,0,43,61,122,0,43,0
Fengshan,2017,2,107,61,121,1,106,0
Fern Green,2017,0,140,120,240,0,140,0
Fernvale,2017,0,95,69,141,0,95,0
First Toa Payoh,2017,0,18,66,132,0,18,0
Frontier,2017,26,93,53,82,24,82,1
Fuchun,2017,2,80,41,80,2,80,0
Fuhua,2017,1,61,43,85,0,61,0
Gan Eng Seng,2017,1,39,54,107,0,39,0
Geylang Methodist,2017,10,140,80,152,8,140,0
Gongshang,2017,18,62,29,44,14,44,1
Greendale,2017,1,83,75,150,0,81,0
Greenridge,2017,4,101,73,143,3,101,0
Greenwood,2017,2,94,63,124,1,94,0
Guangyang,2017,0,20,49,97,0,20,0
Haig Girls’,2017,16,86,59,105,13,85,0
Henry Park,2017,22,60,34,48,19,48,1
Holy Innocents’,2017,54,64,48,52,43,52,1
Hong Wen,2017,39,97,47,55,38,55,1
Horizon,2017,20,147,69,117,20,117,1
Hougang,2017,26,92,55,83,26,83,1
Huamin,2017,1,111,47,93,1,93,1
Innova,2017,27,99,57,88,26,88,1
Jiemin,2017,10,88,43,77,9,77,1
Jing Shan,2017,0,68,32,64,0,64,1
Junyuan,2017,1,63,30,59,1,59,1
Jurong,2017,0,88,44,90,0,88,0
Jurong West,2017,5,89,40,74,5,74,1
Juying,2017,0,19,63,126,0,18,0
Keming,2017,15,131,53,92,13,92,1
Kheng Cheng,2017,0,160,75,150,0,150,1
Kong Hwa,2017,43,56,46,48,43,48,1
Kranji,2017,0,10,57,114,0,9,0
Kuo Chuan Presbyterian,2017,34,93,60,86,34,86,1
Lakeside,2017,0,117,55,109,0,109,1
Lianhua,2017,0,32,70,140,0,32,0
Maha Bodhi,2017,34,79,51,70,32,70,1
Maris Stella High,2017,63,68,60,59,60,59,1
Marsiling,2017,0,44,61,122,0,43,0
Marymount Convent,2017,10,72,77,143,10,72,0
Mayflower,2017,2,52,61,121,1,52,0
Mee Toh,2017,45,170,81,119,43,119,1
Meridian,2017,0,30,69,138,0,30,0
Methodist Girls’,2017,47,33,31,31,31,31,1
Montfort Junior,2017,5,24,63,120,5,24,0
Nan Chiau,2017,76,203,70,72,67,72,1
Nan Hua,2017,15,94,20,26,14,26,1
Nanyang,2017,20,36,20,20,20,20,1
Naval Base,2017,0,72,74,148,0,72,0
New Town,2017,0,55,76,152,0,55,0
Ngee Ann,2017,21,92,53,87,18,87,1
North Spring,2017,0,63,69,138,0,63,0
North View,2017,2,89,54,107,1,88,0
North Vista,2017,6,88,84,162,6,88,0
Northland,2017,24,200,38,51,24,51,1
Northoaks,2017,0,49,71,142,0,49,0
Oasis,2017,0,169,0,170,208,39,0
Opera Estate,2017,10,73,50,94,6,73,0
Palm View,2017,4,104,67,131,2,104,0
Park View,2017,0,47,72,143,0,46,0
Pasir Ris,2017,28,90,49,69,28,69,1
Paya Lebar Methodist Girls’,2017,62,116,75,90,60,90,1
Pei Chun Public,2017,17,68,38,64,12,64,1
Pei Hwa Presbyterian,2017,49,62,39,45,33,45,1
Pei Tong,2017,0,54,78,158,0,54,0
Peiying,2017,0,50,56,112,0,50,0
Pioneer,2017,0,62,36,73,0,62,0
Poi Ching,2017,36,106,52,68,36,68,1
Princess Elizabeth,2017,2,114,36,71,0,71,1
Punggol,2017,1,121,57,114,0,114,1
Punggol Cove,2017,0,144,131,261,0,144,0
Punggol Green,2017,2,263,84,167,0,167,1
Punggol View,2017,1,154,74,146,1,146,1
Qifa,2017,8,122,58,109,6,109,1
Qihua,2017,0,57,64,128,0,55,0
Queenstown,2017,0,100,82,167,0,100,0
Radin Mas,2017,17,57,31,48,14,48,1
Raffles Girls’,2017,25,142,67,111,23,111,1
Red Swastika,2017,11,58,21,33,8,33,1
River Valley,2017,16,117,54,98,10,98,1
Riverside,2017,0,124,54,107,0,107,1
Rivervale,2017,20,141,72,124,20,124,1
Rosyth,2017,26,86,25,27,23,27,1
Rulang,2017,24,76,39,55,23,55,1
Sembawang,2017,0,72,61,124,0,72,0
Seng Kang,2017,0,61,85,172,0,61,0
Sengkang Green,2017,18,226,59,102,16,102,1
Shuqun,2017,16,113,55,93,16,93,1
Si Ling,2017,0,29,65,130,0,28,0
Singapore Chinese Girls’,2017,15,62,35,55,15,55,1
South View,2017,19,135,39,58,19,58,1
Springdale,2017,0,122,65,131,0,122,0
St. Andrew’s Junior,2017,73,79,60,61,58,61,1
St. Anthony’s,2017,31,107,59,90,28,90,1
St. Anthony’s Canossian,2017,28,72,58,89,27,71,0
St. Gabriel’s,2017,25,57,51,79,23,57,0
St. Hilda’s,2017,58,84,35,34,35,34,1
St. Joseph’s Institution Junior,2017,82,74,59,58,59,58,1
St. Margaret’s,2017,32,111,64,99,28,99,1
St. Stephen’s,2017,31,52,74,120,27,52,0
Stamford,2017,0,29,56,112,0,28,0
Tampines,2017,3,92,42,81,2,81,1
Tampines North,2017,0,79,59,118,0,78,0
Tanjong Katong,2017,0,97,72,147,0,95,0
Tao Nan,2017,47,59,44,44,43,44,1
Teck Ghee,2017,5,122,46,88,4,88,1
Teck Whye,2017,0,27,66,133,0,27,0
Telok Kurau,2017,0,66,47,94,0,66,0
Temasek,2017,28,71,38,50,26,50,1
Townsville,2017,0,53,64,129,0,53,0
Unity,2017,0,95,53,106,0,94,0
Waterway,2017,0,187,138,275,0,187,0
Wellington,2017,3,89,54,105,3,87,0
West Grove,2017,15,98,47,78,15,78,1
West Spring,2017,3,169,68,132,3,132,1
West View,2017,0,44,49,98,0,43,0
Westwood,2017,16,150,68,119,16,119,1
White Sands,2017,19,66,36,52,19,52,1
Woodgrove,2017,7,94,54,101,7,94,0
Woodlands,2017,2,107,50,101,0,101,1
Woodlands Ring,2017,2,80,57,113,1,80,0
Xinghua,2017,0,37,50,103,0,37,0
Xingnan,2017,5,75,34,65,2,65,1
Xinmin,2017,12,94,50,90,9,90,1
Xishan,2017,0,38,59,117,0,38,0
Yangzheng,2017,17,100,47,82,12,82,1
Yew Tee,2017,5,83,55,105,4,83,0
Yio Chu Kang,2017,0,38,56,111,0,38,0
Yishun,2017,1,58,66,130,1,58,0
Yu Neng,2017,10,63,30,51,9,51,1
Yuhua,2017,0,40,44,88,0,40,0
Yumin,2017,1,28,37,74,0,28,0
Zhangde,2017,1,109,50,100,0,100,1
Zhenghua,2017,1,88,56,113,0,85,0
Zhonghua,2017,0,17,50,100,0,17,0
Admiralty,2018,35,87,41,46,35,46,1
Ahmad Ibrahim,2018,0,50,74,147,0,50,0
Ai Tong,2018,28,60,21,22,19,22,1
Alexandra,2018,4,128,59,113,4,113,1
Anchor Green,2018,1,69,84,169,0,68,0
Anderson,2018,23,35,24,32,16,32,1
Ang Mo Kio,2018,0,58,64,128,0,58,0
Anglo-Chinese (Junior),2018,55,52,41,41,41,41,1
Anglo-Chinese (Primary),2018,47,45,32,32,32,32,1
Angsana,2018,0,14,88,175,0,14,0
Beacon,2018,1,70,78,155,0,68,0
Bedok Green,2018,0,64,81,164,0,64,0
Bendemeer,2018,1,63,65,131,0,63,0
Blangah Rise,2018,0,17,46,92,0,17,0
Boon Lay Garden,2018,0,62,86,173,0,62,0
Bukit Panjang,2018,23,86,47,71,22,71,1
Bukit Timah,2018,0,86,82,165,0,86,0
Bukit View,2018,0,56,75,150,0,56,0
CHIJ (Katong),2018,28,80,58,89,26,80,0
CHIJ (Kellock),2018,35,101,64,95,32,95,1
CHIJ (Toa Payoh),2018,69,64,47,49,45,49,1
CHIJ Our Lady Queen of Peace,2018,18,70,65,111,18,70,0
CHIJ Our Lady of Good Counsel,2018,28,68,55,84,26,68,0
CHIJ Our Lady of the Nativity,2018,58,106,75,95,55,95,1
CHIJ St. Nicholas Girls’,2018,27,38,21,21,21,21,1
Canberra,2018,78,126,44,44,43,44,1
Canossa Catholic,2018,10,53,46,81,10,53,0
Cantonment,2018,1,85,71,144,0,85,0
Casuarina,2018,2,88,41,80,2,80,1
Catholic High,2018,36,51,21,23,19,23,1
Cedar,2018,1,39,61,122,0,38,0
Changkat,2018,0,68,58,115,0,67,0
Chongfu,2018,43,123,36,37,35,37,1
Chongzheng,2018,19,64,32,47,16,47,1
Chua Chu Kang,2018,14,164,58,103,13,103,1
Clementi,2018,5,108,54,107,1,107,1
Compassvale,2018,22,137,58,95,20,95,1
Concord,2018,13,107,56,99,13,99,1
Corporation,2018,0,89,79,158,0,89,0
Damai,2018,0,34,83,165,0,33,0
Dazhong,2018,0,39,77,153,0,38,0
De La Salle,2018,20,112,72,124,19,112,0
East Spring,2018,2,69,53,103,2,68,0
Edgefield,2018,0,72,86,174,0,72,0
Elias Park,2018,0,112,46,93,0,93,1
Endeavour,2018,11,102,75,139,11,102,0
Eunos,2018,0,27,53,105,0,27,0
Evergreen,2018,7,85,50,92,7,85,0
Fairfield Methodist,2018,48,61,33,35,31,35,1
Farrer Park,2018,0,34,70,140,0,32,0
Fengshan,2018,4,115,53,102,4,102,1
Fern Green,2018,3,216,140,276,3,216,0
Fernvale,2018,0,78,87,173,0,78,0
First Toa Payoh,2018,0,17,64,127,0,17,0
Frontier,2018,26,47,25,25,24,25,1
Fuchun,2018,4,72,59,115,3,72,0
Fuhua,2018,1,89,70,141,0,89,0
Gan Eng Seng,2018,0,44,50,100,0,44,0
Geylang Methodist,2018,10,151,72,136,8,136,1
Gongshang,2018,16,58,21,26,15,26,1
Greendale,2018,0,43,119,237,0,43,0
Greenridge,2018,3,89,61,118,3,89,0
Greenwood,2018,6,141,73,140,6,140,1
Guangyang,2018,0,29,63,125,0,29,0
Haig Girls’,2018,22,106,57,93,20,93,1
Henry Park,2018,19,35,21,25,16,25,1
Holy Innocents’,2018,43,64,28,29,27,29,1
Hong Wen,2018,28,117,28,28,27,28,1
Horizon,2018,24,191,103,181,24,181,1
Hougang,2018,32,102,50,70,30,70,1
Huamin,2018,0,159,60,119,0,119,1
Innova,2018,20,107,63,107,19,107,0
Jiemin,2018,9,92,47,87,7,87,1
Jing Shan,2018,2,78,27,52,1,52,1
Junyuan,2018,0,57,20,40,0,40,1
Jurong,2018,2,55,26,52,0,52,1
Jurong West,2018,20,105,56,92,20,92,1
Juying,2018,0,18,81,161,0,18,0
Keming,2018,23,110,43,64,21,64,1
Kheng Cheng,2018,2,133,59,116,2,116,1
Kong Hwa,2018,31,53,24,24,24,24,1
Kranji,2018,0,16,57,113,0,15,0
Kuo Chuan Presbyterian,2018,54,56,39,43,35,43,1
Lakeside,2018,0,106,37,75,0,75,1
Lianhua,2018,0,44,78,156,0,44,0
Maha Bodhi,2018,47,44,31,31,30,31,1
Maris Stella High,2018,53,62,42,43,41,43,1
Marsiling,2018,0,47,96,191,0,47,0
Marymount Convent,2018,19,121,74,132,15,121,0
Mayflower,2018,0,62,61,123,0,62,0
Mee Toh,2018,66,206,83,102,63,102,1
Meridian,2018,0,33,67,134,0,33,0
Methodist Girls’,2018,47,34,31,30,31,30,1
Montfort Junior,2018,15,43,48,82,14,41,0
Nan Chiau,2018,67,203,53,52,53,52,1
Nan Hua,2018,16,87,23,32,14,32,1
Nanyang,2018,35,56,20,20,20,20,1
Naval Base,2018,0,132,66,132,0,132,0
New Town,2018,0,45,88,176,0,45,0
Ngee Ann,2018,23,98,47,75,19,75,1
North Spring,2018,0,70,102,203,0,70,0
North View,2018,1,101,42,82,1,82,1
North Vista,2018,5,110,81,157,4,110,0
Northland,2018,24,194,27,32,22,32,1
Northoaks,2018,0,33,88,175,0,33,0
Oasis,2018,0,137,119,237,0,137,0
Opera Estate,2018,12,64,49,87,11,64,0
Palm View,2018,8,139,72,137,6,137,1
Park View,2018,2,66,67,133,0,66,0
Pasir Ris,2018,27,70,34,42,26,42,1
Paya Lebar Methodist Girls’,2018,54,93,61,69,53,69,1
Pei Chun Public,2018,23,50,21,24,17,24,1
Pei Hwa Presbyterian,2018,36,47,22,27,16,27,1
Pei Tong,2018,0,58,82,165,0,58,0
Peiying,2018,1,46,71,141,0,46,0
Pioneer,2018,0,51,57,115,0,51,0
Poi Ching,2018,37,158,48,59,36,59,1
Princess Elizabeth,2018,1,163,34,68,0,68,1
Punggol,2018,6,149,58,110,6,110,1
Punggol Cove,2018,0,183,112,223,0,181,0
Punggol Green,2018,2,243,58,114,2,114,1
Punggol View,2018,3,157,79,157,0,157,0
Qifa,2018,26,106,54,84,24,84,1
Qihua,2018,0,67,83,167,0,67,0
