school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Casuarina,2010,0,57,61,122,0,57,0
Catholic High,2010,48,58,9,9,9,9,1
Cedar,2010,0,52,37,75,0,53,0
Changkat,2010,1,93,47,93,1,93,0
Chongfu,2010,95,103,78,77,78,77,1
Chongzheng,2010,6,91,35,64,6,64,1
Chua Chu Kang,2010,1,130,74,148,1,130,0
Clementi,2010,5,124,51,97,5,97,1
Compassvale,2010,9,131,50,90,9,90,1
Concord,2010,1,78,50,98,1,78,0
Corporation,2010,2,70,106,209,2,70,0
Damai,2010,0,28,74,148,0,28,0
Dazhong,2010,1,12,62,122,1,12,0
De La Salle,2010,57,101,66,77,57,77,1
East Spring,2010,4,89,43,81,4,81,1
Edgefield,2010,4,157,81,158,4,157,0
Elias Park,2010,0,90,52,104,0,90,0
Endeavour,2010,12,185,80,148,12,148,1
Eunos,2010,0,40,58,115,0,40,0
Evergreen,2010,34,139,60,86,34,86,1
Fairfield Methodist,2010,80,65,55,55,56,55,1
Farrer Park,2010,0,36,76,152,0,36,0
Fengshan,2010,3,91,44,85,3,85,1
Fernvale,2010,0,92,108,216,0,92,0
First Toa Payoh,2010,0,34,85,169,0,34,0
Fuchun,2010,2,131,57,111,2,111,1
Fuhua,2010,3,78,78,155,3,78,0
Gan Eng Seng,2010,0,110,78,155,0,110,0
Geylang Methodist,2010,6,175,76,145,6,145,1
Gongshang,2010,39,82,40,42,39,42,1
Greendale,2010,0,75,88,177,0,75,0
Greenridge,2010,1,159,65,129,1,129,1
Greenwood,2010,8,123,63,117,8,117,1
Guangyang,2010,0,9,65,129,0,9,0
Haig Girls’,2010,0,103,60,120,0,103,0
Henry Park,2010,37,107,52,70,37,70,1
Holy Innocents’,2010,58,80,55,56,56,56,1
Hong Wen,2010,43,110,66,88,43,88,1
Horizon,2010,0,118,131,261,0,117,0
Hougang,2010,28,138,60,92,28,92,1
Huamin,2010,0,67,58,115,0,67,0
Innova,2010,6,177,76,145,6,145,1
Jiemin,2010,1,110,36,71,1,71,1
Jing Shan,2010,0,55,59,119,0,55,0
Junyuan,2010,0,59,53,106,0,59,0
Jurong,2010,14,121,51,88,14,88,1
