school,total_years_observed,years_with_balloting,ballot_frequency,avg_phase2c_demand,avg_phase2c_demand_capped,avg_phase2c_demand_norm,ballot_frequency_norm,demand_index
Yangzheng,17,15,0.8823529411764706,1.3816860634463315,1.3816860634463315,0.387204652,0.8823529411764706,53.57491391
Chua Chu Kang,17,15,0.8823529411764706,1.375421686324563,1.375421686324563,0.385280471,0.8823529411764706,53.4402212
River Valley,17,16,0.9411764705882352,1.2557630159331414,1.2557630159331414,0.348525819,0.9411764705882352,52.63210147
Riverside,14,12,0.8571428571428571,1.3693172475744568,1.3693172475744568,0.383405417,0.8571428571428571,52.55266487
West Spring,13,9,0.6923076923076923,1.4954575565345276,1.4954575565345276,0.422150984,0.6923076923076923,50.31979966
Jurong West,17,14,0.8235294117647058,1.2880752046002732,1.2880752046002732,0.358450911,0.8235294117647058,49.7974461
CHIJ Our Lady of the Nativity,17,16,0.9411764705882352,1.0868790443178211,1.0868790443178211,0.296651003,0.9411764705882352,49.00086433
White Sands,17,15,0.8823529411764706,1.160365760687279,1.160365760687279,0.319223364,0.8823529411764706,48.81622369
Qifa,17,14,0.8235294117647058,1.1149489047937995,1.1149489047937995,0.305273011,0.8235294117647058,46.07499309
Innova,17,13,0.7647058823529411,1.1924043334393968,1.1924043334393968,0.329064411,0.7647058823529411,45.97568521
West Grove,17,12,0.7058823529411765,1.2584846239343437,1.2584846239343437,0.349361795,0.7058823529411765,45.63179625
Fengshan,17,13,0.7647058823529411,1.1612256378315813,1.1612256378315813,0.319487486,0.7647058823529411,45.30530047
St. Margaret’s,17,14,0.8235294117647058,1.068441241281098,1.068441241281098,0.290987602,0.8235294117647058,45.0750145
Elias Park,17,12,0.7058823529411765,1.1607488746868815,1.1607488746868815,0.319341042,0.7058823529411765,43.53034352
Valour,7,5,0.7142857142857143,1.1337171740173795,1.1337171740173795,0.311037918,0.7142857142857143,43.20122571
Ngee Ann,17,12,0.7058823529411765,1.090968846378304,1.090968846378304,0.297907237,0.7058823529411765,42.02997716
Huamin,17,11,0.6470588235294118,1.0615539338750433,1.0615539338750433,0.28887208,0.6470588235294118,39.6328103
Zhangde,17,11,0.6470588235294118,1.060248196295475,1.060248196295475,0.288471006,0.6470588235294118,39.60473515
Lakeside,17,11,0.6470588235294118,1.0043547241873618,1.0043547241873618,0.27130263,0.6470588235294118,38.4029488
Punggol,17,10,0.5882352941176471,1.0634103552400112,1.0634103552400112,0.289442303,0.5882352941176471,37.90802002
Tampines,17,11,0.6470588235294118,0.9805621834659156,0.9805621834659156,0.263994455,0.6470588235294118,37.89137652
Jurong,17,10,0.5882352941176471,1.002082123965975,1.002082123965975,0.270604572,0.5882352941176471,36.58937889
Geylang Methodist,17,10,0.5882352941176471,0.9940475092278978,0.9940475092278978,0.26813664,0.5882352941176471,36.41662365
De La Salle,17,9,0.5294117647058824,1.0462403361359232,1.0462403361359232,0.284168318,0.5294117647058824,35.77413517
Woodgrove,17,9,0.5294117647058824,1.0367197473640353,1.0367197473640353,0.28124395,0.5294117647058824,35.56942944
Tanjong Katong,17,9,0.5294117647058824,1.0353169478114608,1.0353169478114608,0.280813063,0.5294117647058824,35.53926733
Kheng Cheng,17,9,0.5294117647058824,1.0046164519488696,1.0046164519488696,0.271383023,0.5294117647058824,34.87916454
Oasis,11,6,0.5454545454545454,0.9514072281379845,0.9514072281379845,0.255039147,0.5454545454545454,34.21637663
Jiemin,17,9,0.5294117647058824,0.9558168724240005,0.9558168724240005,0.256393624,0.5294117647058824,33.82990661
Waterway,11,5,0.4545454545454545,1.0177482160063738,1.0177482160063738,0.275416608,0.4545454545454545,32.91552618
Woodlands,17,8,0.4705882352941176,0.9934675736706368,0.9934675736706368,0.267958506,0.4705882352941176,32.87474247
Teck Ghee,17,8,0.4705882352941176,0.986645382,0.986645382,0.265862985,0.4705882352941176,32.72805599
Punggol View,14,7,0.5,0.9287694759814364,0.9287694759814364,0.248085679,0.5,32.36599754
Evergreen,17,7,0.4117647058823529,1.0460641698957227,1.0460641698957227,0.284114206,0.4117647058823529,32.24093559
Fern Green,9,4,0.4444444444444444,0.9673382326681175,0.9673382326681175,0.259932553,0.4444444444444444,31.52861206
Wellington,17,6,0.3529411764705882,1.0829595448785878,1.0829595448785878,0.29544708,0.3529411764705882,31.26953089
Haig Girls’,17,7,0.4117647058823529,0.9562468526699147,0.9562468526699147,0.256525698,0.4117647058823529,30.30974002
Endeavour,17,7,0.4117647058823529,0.8947325947294065,0.8947325947294065,0.237630827,0.4117647058823529,28.98709906
North View,17,6,0.3529411764705882,0.9639871511720964,0.9639871511720964,0.258903227,0.3529411764705882,28.71146117
St. Stephen’s,17,7,0.4117647058823529,0.7598437366021417,0.7598437366021417,0.196198033,0.4117647058823529,26.08680351
Junyuan,17,6,0.3529411764705882,0.8244421406082951,0.8244421406082951,0.216040238,0.3529411764705882,25.71105196
St. Gabriel’s,17,5,0.2941176470588235,0.8896392548578733,0.8896392548578733,0.236066344,0.2941176470588235,25.3481735
Yew Tee,17,6,0.3529411764705882,0.7774435945480094,0.7774435945480094,0.201604049,0.3529411764705882,24.70051872
Fuchun,17,6,0.3529411764705882,0.7772308182904646,0.7772308182904646,0.201538692,0.3529411764705882,24.69594374
CHIJ (Kellock),17,5,0.2941176470588235,0.8416104924154064,0.8416104924154064,0.221313711,0.2941176470588235,24.3154892
CHIJ Our Lady of Good Counsel,17,5,0.2941176470588235,0.8121640341823936,0.8121640341823936,0.212268865,0.2941176470588235,23.68234994
Concord,17,4,0.2352941176470588,0.8920797991830839,0.8920797991830839,0.236815988,0.2352941176470588,23.63594267
Northshore,6,2,0.3333333333333333,0.7547655959460942,0.7547655959460942,0.194638219,0.3333333333333333,23.62467534
Greenridge,17,6,0.3529411764705882,0.7272898634973142,0.7272898634973142,0.186198706,0.3529411764705882,23.62214468
Queenstown,17,5,0.2941176470588235,0.791819758,0.791819758,0.206019867,0.2941176470588235,23.24492007
Sembawang,17,5,0.2941176470588235,0.758491269,0.758491269,0.195782606,0.2941176470588235,22.52831184
Greenwood,17,4,0.2352941176470588,0.8347522753927692,0.8347522753927692,0.219207124,0.2352941176470588,22.40332224
Jing Shan,17,4,0.2352941176470588,0.8148494836956809,0.8148494836956809,0.213093734,0.2352941176470588,21.97538491
Unity,17,4,0.2352941176470588,0.773909269,0.773909269,0.200518437,0.2352941176470588,21.0951141
Springdale,14,3,0.2142857142857142,0.7952610244750881,0.7952610244750881,0.207076895,0.2142857142857142,20.92395405
Naval Base,17,5,0.2941176470588235,0.6827510326695984,0.6827510326695984,0.172518049,0.2941176470588235,20.89979282
Clementi,17,4,0.2352941176470588,0.7574950339587575,0.7574950339587575,0.1954766,0.2352941176470588,20.74218553
CHIJ (Katong),17,4,0.2352941176470588,0.7487042202126443,0.7487042202126443,0.192776392,0.2352941176470588,20.55317097
Beacon,17,5,0.2941176470588235,0.6525664177418979,0.6525664177418979,0.163246468,0.2941176470588235,20.25078218
East Spring,17,4,0.2352941176470588,0.7259078489210034,0.7259078489210034,0.185774203,0.2352941176470588,20.06301771
Telok Kurau,17,4,0.2352941176470588,0.7246683050727932,0.7246683050727932,0.185393461,0.2352941176470588,20.03636582
CHIJ Our Lady Queen of Peace,17,3,0.1764705882352941,0.7643597966128266,0.7643597966128266,0.197585197,0.1764705882352941,19.12508147
