school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Admiralty,2009,51,51,63,0,139,75,75,1,0.80952381,1.853333333
Ahmad Ibrahim,2009,3,3,59,0,71,70,116,0,0.050847458,0.612068966
Ai Tong,2009,65,45,45,1,64,48,48,1,1.444444444,1.333333333
Anchor Green,2009,0,0,95,0,110,110,189,0,0,0.582010582
Anderson,2009,25,25,57,0,116,88,88,1,0.438596491,1.318181818
Ang Mo Kio,2009,2,2,65,0,107,107,128,0,0.030769231,0.8359375
Anglo-Chinese (Junior),2009,73,53,53,1,63,54,54,1,1.377358491,1.166666667
Anglo-Chinese (Primary),2009,36,26,26,1,48,27,27,1,1.384615385,1.777777778
Angsana,2009,0,0,75,0,22,22,150,0,0,0.146666667
Beacon,2009,13,13,88,0,192,163,163,1,0.147727273,1.17791411
Bedok Green,2009,0,0,63,0,82,81,125,0,0,0.656
Bendemeer,2009,0,0,48,0,45,45,97,0,0,0.463917526
Blangah Rise,2009,0,0,86,0,14,13,172,0,0,0.081395349
Boon Lay Garden,2009,2,2,91,0,57,57,179,0,0.021978022,0.318435754
Bukit Panjang,2009,15,15,35,0,106,56,56,1,0.428571429,1.892857143
Bukit Timah,2009,2,2,65,0,43,43,129,0,0.030769231,0.333333333
Bukit View,2009,0,0,58,0,96,96,115,0,0,0.834782609
CHIJ (Katong),2009,65,65,76,0,85,85,90,0,0.855263158,0.944444444
CHIJ (Kellock),2009,18,18,68,0,125,117,117,1,0.264705882,1.068376068
CHIJ (Toa Payoh),2009,63,53,53,1,60,53,53,1,1.188679245,1.132075472
CHIJ Our Lady Queen of Peace,2009,51,51,57,0,86,64,64,1,0.894736842,1.34375
CHIJ Our Lady of Good Counsel,2009,26,26,50,0,76,76,76,0,0.52,1
CHIJ Our Lady of the Nativity,2009,65,65,81,0,109,97,97,1,0.802469136,1.12371134
CHIJ St. Nicholas Girls’,2009,46,37,37,1,49,37,37,1,1.243243243,1.324324324
Canberra,2009,29,29,56,0,120,86,86,1,0.517857143,1.395348837
Canossa Catholic,2009,3,3,49,0,46,46,94,0,0.06122449,0.489361702
Casuarina,2009,3,3,52,0,63,63,103,0,0.057692308,0.611650485
Catholic High,2009,39,28,28,1,72,28,28,1,1.392857143,2.571428571
Cedar,2009,1,1,51,0,46,46,101,0,0.019607843,0.455445545
Changkat,2009,2,2,48,0,68,68,94,0,0.041666667,0.723404255
Chongfu,2009,96,80,80,1,98,81,81,1,1.2,1.209876543
Chongzheng,2009,5,5,34,0,91,65,65,1,0.147058824,1.4
Chua Chu Kang,2009,2,2,64,0,124,124,127,0,0.03125,0.976377953
Clementi,2009,3,3,61,0,136,120,120,1,0.049180328,1.133333333
Compassvale,2009,10,10,47,0,123,84,84,1,0.212765957,1.464285714
Concord,2009,2,2,49,0,89,89,95,0,0.040816327,0.936842105
Corporation,2009,0,0,102,0,71,71,206,0,0,0.344660194
Damai,2009,1,1,72,0,28,28,144,0,0.013888889,0.194444444
Dazhong,2009,0,0,53,0,5,5,105,0,0,0.047619048
De La Salle,2009,40,40,71,0,132,103,103,1,0.563380282,1.281553398
East Spring,2009,1,1,36,0,87,71,71,1,0.027777778,1.225352113
Edgefield,2009,2,2,70,0,133,132,138,0,0.028571429,0.963768116
Elias Park,2009,0,0,38,0,90,75,75,1,0,1.2
Endeavour,2009,2,2,104,0,217,205,205,1,0.019230769,1.058536585
Eunos,2009,0,0,56,0,41,41,112,0,0,0.366071429
Evergreen,2009,46,46,66,0,154,85,85,1,0.696969697,1.811764706
Fairfield Methodist,2009,57,57,59,0,93,63,63,1,0.966101695,1.476190476
Farrer Park,2009,0,0,75,0,34,33,151,0,0,0.225165563
Fengshan,2009,0,0,72,0,109,109,145,0,0,0.751724138
Fernvale,2009,0,0,85,0,91,91,171,0,0,0.532163743
First Toa Payoh,2009,0,0,86,0,26,26,171,0,0,0.152046784
Fuchun,2009,6,6,64,0,133,121,121,1,0.09375,1.099173554
Fuhua,2009,1,1,70,0,82,82,138,0,0.014285714,0.594202899
Gan Eng Seng,2009,0,0,76,0,113,113,153,0,0,0.738562092
Geylang Methodist,2009,17,17,74,0,155,133,133,1,0.22972973,1.165413534
Gongshang,2009,30,30,47,0,105,65,65,1,0.638297872,1.615384615
Greendale,2009,0,0,106,0,99,99,213,0,0,0.464788732
Greenridge,2009,2,2,61,0,128,122,122,1,0.032786885,1.049180328
Greenwood,2009,1,1,63,0,132,126,126,1,0.015873016,1.047619048
Guangyang,2009,0,0,67,0,9,9,134,0,0,0.067164179
Haig Girls’,2009,0,0,65,0,87,87,131,0,0,0.664122137
Henry Park,2009,26,26,35,0,66,45,45,1,0.742857143,1.466666667
Holy Innocents’,2009,62,62,65,0,79,71,71,1,0.953846154,1.112676056
Hong Wen,2009,22,22,56,0,105,91,91,1,0.392857143,1.153846154
Horizon,2009,0,0,135,0,42,42,270,0,0,0.155555556
Hougang,2009,25,25,52,0,149,80,80,1,0.480769231,1.8625
Huamin,2009,0,0,62,0,50,50,123,0,0,0.406504065
Innova,2009,5,5,82,0,178,158,158,1,0.06097561,1.126582278
Jiemin,2009,1,1,53,0,107,106,106,1,0.018867925,1.009433962
Jing Shan,2009,1,1,50,0,65,65,100,0,0.02,0.65
Junyuan,2009,0,0,64,0,64,63,128,0,0,0.5
Jurong,2009,6,6,57,0,138,107,107,1,0.105263158,1.289719626
Jurong West,2009,26,26,54,0,205,81,81,1,0.481481481,2.530864198
Juying,2009,0,0,73,0,28,28,146,0,0,0.191780822
Keming,2009,11,11,55,0,110,99,99,1,0.2,1.111111111
Kheng Cheng,2009,0,0,72,0,112,112,145,0,0,0.772413793
Kong Hwa,2009,63,55,55,1,66,55,55,1,1.145454545,1.2
Kranji,2009,2,2,92,0,32,32,186,0,0.02173913,0.172043011
Kuo Chuan Presbyterian,2009,27,27,74,0,148,122,122,1,0.364864865,1.213114754
Lakeside,2009,3,2,88,0,90,90,174,0,0.034090909,0.517241379
Lianhua,2009,2,2,47,0,73,73,92,0,0.042553191,0.793478261
Maha Bodhi,2009,55,55,55,0,71,58,58,1,1,1.224137931
Maris Stella High,2009,99,99,98,1,121,98,98,1,1.010204082,1.234693878
Marsiling,2009,2,2,86,0,68,68,169,0,0.023255814,0.402366864
Marymount Convent,2009,18,18,96,0,86,86,177,0,0.1875,0.485875706
Mayflower,2009,0,0,77,0,45,45,154,0,0,0.292207792
Mee Toh,2009,57,57,67,0,179,77,77,1,0.850746269,2.324675325
Meridian,2009,3,3,65,0,69,69,127,0,0.046153846,0.543307087
Methodist Girls’,2009,64,37,37,1,42,37,37,1,1.72972973,1.135135135
Montfort Junior,2009,8,8,100,0,55,53,193,0,0.08,0.284974093
Nan Chiau,2009,79,77,75,1,191,73,73,1,1.053333333,2.616438356
Nan Hua,2009,42,42,42,0,100,43,43,1,1,2.325581395
Nanyang,2009,47,47,47,0,55,47,47,1,1,1.170212766
Naval Base,2009,3,3,77,0,37,37,152,0,0.038961039,0.243421053
New Town,2009,0,0,97,0,99,98,194,0,0,0.510309278
Ngee Ann,2009,9,9,68,0,124,124,128,0,0.132352941,0.96875
North Spring,2009,0,0,81,0,46,46,162,0,0,0.283950617
North View,2009,0,0,65,0,45,45,130,0,0,0.346153846
North Vista,2009,1,1,110,0,203,202,218,0,0.009090909,0.931192661
Northland,2009,51,51,72,0,153,92,92,1,0.708333333,1.663043478
Opera Estate,2009,0,0,67,0,14,14,135,0,0,0.103703704
Park View,2009,0,0,54,0,72,72,108,0,0,0.666666667
Pasir Ris,2009,20,20,48,0,100,76,76,1,0.416666667,1.315789474
Paya Lebar Methodist Girls’,2009,87,85,85,1,103,85,85,1,1.023529412,1.211764706
Pei Chun Public,2009,63,63,62,1,119,65,65,1,1.016129032,1.830769231
Pei Hwa Presbyterian,2009,78,78,78,0,88,79,79,1,1,1.113924051
Pei Tong,2009,0,0,91,0,75,75,183,0,0,0.409836066
Peiying,2009,1,1,56,0,63,63,111,0,0.017857143,0.567567568
Pioneer,2009,1,1,79,0,92,92,157,0,0.012658228,0.585987261
Poi Ching,2009,26,26,64,0,111,101,101,1,0.40625,1.099009901
Princess Elizabeth,2009,8,8,56,0,175,106,106,1,0.142857143,1.650943396
Punggol,2009,4,4,67,0,108,108,129,0,0.059701493,0.837209302
Qifa,2009,1,1,69,0,80,80,137,0,0.014492754,0.583941606
Qihua,2009,0,0,90,0,82,82,181,0,0,0.453038674
Queenstown,2009,4,4,62,0,61,61,122,0,0.064516129,0.5
Radin Mas,2009,23,23,43,0,128,65,65,1,0.534883721,1.969230769
Raffles Girls’,2009,47,47,67,0,140,86,86,1,0.701492537,1.627906977
Red Swastika,2009,32,32,35,0,86,41,41,1,0.914285714,2.097560976
River Valley,2009,32,32,60,0,102,92,92,1,0.533333333,1.108695652
Rivervale,2009,20,20,42,0,180,63,63,1,0.476190476,2.857142857
Rosyth,2009,53,53,67,0,173,81,81,1,0.791044776,2.135802469
Rulang,2009,54,52,52,1,146,52,52,1,1.038461538,2.807692308
Sembawang,2009,2,2,80,0,65,65,158,0,0.025,0.411392405
Seng Kang,2009,0,0,68,0,57,57,136,0,0,0.419117647
Shuqun,2009,8,8,87,0,179,168,168,1,0.091954023,1.06547619
Si Ling,2009,2,2,86,0,51,51,172,0,0.023255814,0.296511628
Singapore Chinese Girls’,2009,22,22,39,0,66,55,55,1,0.564102564,1.2
South View,2009,67,52,52,1,126,51,51,1,1.288461538,2.470588235
St. Andrew’s Junior,2009,58,58,69,0,105,79,79,1,0.84057971,1.329113924
St. Anthony’s,2009,46,46,65,0,146,88,88,1,0.707692308,1.659090909
St. Anthony’s Canossian,2009,38,38,93,0,90,90,149,0,0.408602151,0.604026846
St. Gabriel’s,2009,10,10,69,0,87,87,129,0,0.144927536,0.674418605
St. Hilda’s,2009,65,46,46,1,152,46,46,1,1.413043478,3.304347826
St. Joseph’s Institution Junior,2009,71,58,58,1,75,59,59,1,1.224137931,1.271186441
St. Margaret’s,2009,31,31,79,0,132,127,127,1,0.392405063,1.039370079
St. Stephen’s,2009,59,59,68,0,101,77,77,1,0.867647059,1.311688312
Stamford,2009,0,0,68,0,56,55,138,0,0,0.405797101
Tampines,2009,0,0,68,0,68,67,135,0,0,0.503703704
Tampines North,2009,3,3,66,0,82,82,129,0,0.045454545,0.635658915
Tanjong Katong,2009,14,14,84,0,105,105,159,0,0.166666667,0.660377358
Tao Nan,2009,107,82,82,1,103,82,82,1,1.304878049,1.256097561
Teck Ghee,2009,3,3,50,0,86,86,98,0,0.06,0.87755102
Teck Whye,2009,0,0,82,0,34,34,165,0,0,0.206060606
Telok Kurau,2009,3,3,53,0,106,103,103,1,0.056603774,1.029126214
Temasek,2009,53,53,53,0,78,53,53,1,1,1.471698113
Townsville,2009,0,0,79,0,80,79,158,0,0,0.506329114
Unity,2009,2,2,35,0,100,67,67,1,0.057142857,1.492537313
Wellington,2009,1,1,69,0,82,82,141,0,0.014492754,0.581560284
West Grove,2009,74,74,84,0,256,94,94,1,0.880952381,2.723404255
West View,2009,1,1,89,0,54,54,177,0,0.011235955,0.305084746
White Sands,2009,5,5,40,0,92,75,75,1,0.125,1.226666667
Woodgrove,2009,24,24,67,0,120,112,112,1,0.358208955,1.071428571
Woodlands,2009,2,2,66,0,86,86,132,0,0.03030303,0.651515152
Woodlands Ring,2009,5,5,56,0,110,107,107,1,0.089285714,1.028037383
Xinghua,2009,0,0,56,0,52,52,115,0,0,0.452173913
Xingnan,2009,1,1,76,0,126,126,150,0,0.013157895,0.84
Xinmin,2009,6,6,36,0,102,65,65,1,0.166666667,1.569230769
Xishan,2009,0,0,57,0,48,48,114,0,0,0.421052632
Yangzheng,2009,3,3,55,0,104,103,110,0,0.054545455,0.945454545
Yew Tee,2009,7,7,62,0,145,118,118,1,0.112903226,1.228813559
Yio Chu Kang,2009,1,1,58,0,48,48,116,0,0.017241379,0.413793103
Yishun,2009,0,0,53,0,77,77,106,0,0,0.726415094
Yu Neng,2009,14,14,46,0,129,77,77,1,0.304347826,1.675324675
Yuhua,2009,2,2,87,0,68,68,172,0,0.022988506,0.395348837
Yumin,2009,1,1,52,0,58,58,102,0,0.019230769,0.568627451
Zhangde,2009,0,0,65,0,156,132,132,1,0,1.181818182
Zhenghua,2009,2,2,77,0,107,107,154,0,0.025974026,0.694805195
Zhonghua,2009,0,0,67,0,52,52,134,0,0,0.388059701
Admiralty,2010,40,40,62,0,163,84,84,1,0.64516129,1.94047619
Ahmad Ibrahim,2010,0,0,61,0,58,58,123,0,0,0.471544715
Ai Tong,2010,56,37,37,1,68,37,37,1,1.513513514,1.837837838
Anchor Green,2010,0,0,94,0,117,117,188,0,0,0.622340426
Anderson,2010,29,29,44,0,95,60,60,1,0.659090909,1.583333333
Ang Mo Kio,2010,1,1,54,0,77,77,107,0,0.018518519,0.719626168
Anglo-Chinese (Junior),2010,83,64,63,1,76,63,63,1,1.317460317,1.206349206
Anglo-Chinese (Primary),2010,25,20,20,1,30,19,19,1,1.25,1.578947368
Angsana,2010,0,0,65,0,19,19,130,0,0,0.146153846
Beacon,2010,9,9,90,0,183,170,170,1,0.1,1.076470588
Bedok Green,2010,2,2,64,0,78,78,126,0,0.03125,0.619047619
Bendemeer,2010,0,0,49,0,50,50,97,0,0,0.515463918
Blangah Rise,2010,0,0,81,0,16,16,161,0,0,0.099378882
Boon Lay Garden,2010,0,0,98,0,67,67,195,0,0,0.343589744
Bukit Panjang,2010,45,45,55,0,102,65,65,1,0.818181818,1.569230769
Bukit Timah,2010,1,1,61,0,50,50,121,0,0.016393443,0.41322314
Bukit View,2010,0,0,74,0,107,107,148,0,0,0.722972973
CHIJ (Katong),2010,62,62,76,0,100,89,89,1,0.815789474,1.123595506
CHIJ (Kellock),2010,24,24,75,0,123,123,125,0,0.32,0.984
CHIJ (Toa Payoh),2010,71,53,53,1,69,52,52,1,1.339622642,1.326923077
CHIJ Our Lady Queen of Peace,2010,39,39,67,0,94,94,95,0,0.582089552,0.989473684
CHIJ Our Lady of Good Counsel,2010,42,42,51,0,65,61,61,1,0.823529412,1.06557377
CHIJ Our Lady of the Nativity,2010,56,56,87,0,129,118,118,1,0.643678161,1.093220339
CHIJ St. Nicholas Girls’,2010,40,22,21,1,48,22,22,1,1.904761905,2.181818182
Canberra,2010,23,23,68,0,140,113,113,1,0.338235294,1.238938053
Canossa Catholic,2010,4,4,50,0,40,40,96,0,0.08,0.416666667
Cantonment,2010,0,0,104,0,74,74,208,0,0,0.355769231
Casuarina,2010,0,0,61,0,57,57,122,0,0,0.467213115
Catholic High,2010,48,9,9,1,58,9,9,1,5.333333333,6.444444444
Cedar,2010,0,0,37,0,52,53,75,0,0,0.693333333
Changkat,2010,1,1,47,0,93,93,93,0,0.021276596,1
Chongfu,2010,95,78,78,1,103,77,77,1,1.217948718,1.337662338
Chongzheng,2010,6,6,35,0,91,64,64,1,0.171428571,1.421875
Chua Chu Kang,2010,1,1,74,0,130,130,148,0,0.013513514,0.878378378
Clementi,2010,5,5,51,0,124,97,97,1,0.098039216,1.278350515
Compassvale,2010,9,9,50,0,131,90,90,1,0.18,1.455555556
Concord,2010,1,1,50,0,78,78,98,0,0.02,0.795918367
Corporation,2010,2,2,106,0,70,70,209,0,0.018867925,0.33492823
Damai,2010,0,0,74,0,28,28,148,0,0,0.189189189
Dazhong,2010,1,1,62,0,12,12,122,0,0.016129032,0.098360656
De La Salle,2010,57,57,66,0,101,77,77,1,0.863636364,1.311688312
East Spring,2010,4,4,43,0,89,81,81,1,0.093023256,1.098765432
Edgefield,2010,4,4,81,0,157,157,158,0,0.049382716,0.993670886
Elias Park,2010,0,0,52,0,90,90,104,0,0,0.865384615
Endeavour,2010,12,12,80,0,185,148,148,1,0.15,1.25
Eunos,2010,0,0,58,0,40,40,115,0,0,0.347826087
Evergreen,2010,34,34,60,0,139,86,86,1,0.566666667,1.61627907
Fairfield Methodist,2010,80,56,55,1,65,55,55,1,1.454545455,1.181818182
Farrer Park,2010,0,0,76,0,36,36,152,0,0,0.236842105
Fengshan,2010,3,3,44,0,91,85,85,1,0.068181818,1.070588235
Fernvale,2010,0,0,108,0,92,92,216,0,0,0.425925926
First Toa Payoh,2010,0,0,85,0,34,34,169,0,0,0.201183432
Fuchun,2010,2,2,57,0,131,111,111,1,0.035087719,1.18018018
Fuhua,2010,3,3,78,0,78,78,155,0,0.038461538,0.503225806
Gan Eng Seng,2010,0,0,78,0,110,110,155,0,0,0.709677419
Geylang Methodist,2010,6,6,76,0,175,145,145,1,0.078947368,1.206896552
Gongshang,2010,39,39,40,0,82,42,42,1,0.975,1.952380952
Greendale,2010,0,0,88,0,75,75,177,0,0,0.423728814
Greenridge,2010,1,1,65,0,159,129,129,1,0.015384615,1.23255814
Greenwood,2010,8,8,63,0,123,117,117,1,0.126984127,1.051282051
Guangyang,2010,0,0,65,0,9,9,129,0,0,0.069767442
Haig Girls’,2010,0,0,60,0,103,103,120,0,0,0.858333333
Henry Park,2010,37,37,52,0,107,70,70,1,0.711538462,1.528571429
Holy Innocents’,2010,58,56,55,1,80,56,56,1,1.054545455,1.428571429
Hong Wen,2010,43,43,66,0,110,88,88,1,0.651515152,1.25
Horizon,2010,0,0,131,0,118,117,261,0,0,0.45210728
Hougang,2010,28,28,60,0,138,92,92,1,0.466666667,1.5
Huamin,2010,0,0,58,0,67,67,115,0,0,0.582608696
Innova,2010,6,6,76,0,177,145,145,1,0.078947368,1.220689655
Jiemin,2010,1,1,36,0,110,71,71,1,0.027777778,1.549295775
Jing Shan,2010,0,0,59,0,55,55,119,0,0,0.462184874
Junyuan,2010,0,0,53,0,59,59,106,0,0,0.556603774
Jurong,2010,14,14,51,0,121,88,88,1,0.274509804,1.375
Jurong West,2010,32,32,73,0,225,114,114,1,0.438356164,1.973684211
Juying,2010,0,0,68,0,25,25,136,0,0,0.183823529
Keming,2010,18,18,47,0,103,77,77,1,0.382978723,1.337662338
Kheng Cheng,2010,2,2,68,0,108,108,133,0,0.029411765,0.812030075
Kong Hwa,2010,76,50,50,1,80,49,49,1,1.52,1.632653061
Kranji,2010,1,1,92,0,34,34,182,0,0.010869565,0.186813187
Kuo Chuan Presbyterian,2010,16,16,66,0,148,116,116,1,0.242424242,1.275862069
Lakeside,2010,0,0,73,0,98,98,146,0,0,0.671232877
Lianhua,2010,0,0,68,0,65,65,135,0,0,0.481481481
Maha Bodhi,2010,56,56,55,1,67,55,55,1,1.018181818,1.218181818
Maris Stella High,2010,98,91,90,1,104,90,90,1,1.088888889,1.155555556
Marsiling,2010,0,0,101,0,80,80,201,0,0,0.39800995
Marymount Convent,2010,18,18,85,0,112,112,151,0,0.211764706,0.741721854
Mayflower,2010,2,2,67,0,93,93,131,0,0.029850746,0.709923664
Mee Toh,2010,74,74,82,0,174,90,90,1,0.902439024,1.933333333
Meridian,2010,1,1,70,0,82,82,138,0,0.014285714,0.594202899
Methodist Girls’,2010,59,38,38,1,42,37,37,1,1.552631579,1.135135135
Montfort Junior,2010,16,16,95,0,57,57,174,0,0.168421053,0.327586207
Nan Chiau,2010,79,65,65,1,204,65,65,1,1.215384615,3.138461538
Nan Hua,2010,40,36,36,1,84,35,35,1,1.111111111,2.4
Nanyang,2010,51,36,36,1,68,36,36,1,1.416666667,1.888888889
Naval Base,2010,0,0,81,0,37,37,161,0,0,0.229813665
New Town,2010,1,1,83,0,77,77,164,0,0.012048193,0.469512195
Ngee Ann,2010,16,16,69,0,136,123,123,1,0.231884058,1.105691057
North Spring,2010,1,1,78,0,44,44,155,0,0.012820513,0.283870968
North View,2010,0,0,57,0,66,65,113,0,0,0.584070796
North Vista,2010,6,6,95,0,177,177,184,0,0.063157895,0.961956522
Northland,2010,35,35,57,0,137,79,79,1,0.614035088,1.734177215
Opera Estate,2010,1,1,70,0,31,31,140,0,0.014285714,0.221428571
Park View,2010,0,0,60,0,53,53,119,0,0,0.445378151
Pasir Ris,2010,22,22,41,0,78,60,60,1,0.536585366,1.3
Paya Lebar Methodist Girls’,2010,95,83,83,1,109,82,82,1,1.144578313,1.329268293
Pei Chun Public,2010,59,48,47,1,98,47,47,1,1.255319149,2.085106383
Pei Hwa Presbyterian,2010,68,44,44,1,67,44,44,1,1.545454545,1.522727273
Pei Tong,2010,2,2,88,0,61,61,175,0,0.022727273,0.348571429
Peiying,2010,0,0,56,0,67,67,111,0,0,0.603603604
Pioneer,2010,0,0,74,0,101,101,147,0,0,0.68707483
Poi Ching,2010,31,31,68,0,120,106,106,1,0.455882353,1.132075472
Princess Elizabeth,2010,3,3,19,0,138,36,36,1,0.157894737,3.833333333
Punggol,2010,0,0,68,0,87,87,137,0,0,0.635036496
Qifa,2010,2,2,51,0,119,100,100,1,0.039215686,1.19
Qihua,2010,0,0,78,0,90,90,155,0,0,0.580645161
Queenstown,2010,1,1,61,0,69,69,121,0,0.016393443,0.570247934
Radin Mas,2010,30,30,59,0,126,88,88,1,0.508474576,1.431818182
Raffles Girls’,2010,62,62,60,1,76,61,61,1,1.033333333,1.245901639
Red Swastika,2010,28,28,34,0,99,41,41,1,0.823529412,2.414634146
River Valley,2010,39,39,41,0,51,42,42,1,0.951219512,1.214285714
Rivervale,2010,40,40,54,0,144,68,68,1,0.740740741,2.117647059
Rosyth,2010,57,57,56,1,163,56,56,1,1.017857143,2.910714286
Rulang,2010,52,46,46,1,129,45,45,1,1.130434783,2.866666667
Sembawang,2010,0,0,81,0,67,67,161,0,0,0.416149068
Seng Kang,2010,1,1,74,0,64,64,147,0,0.013513514,0.43537415
Shuqun,2010,9,9,78,0,194,147,147,1,0.115384615,1.319727891
Si Ling,2010,2,2,93,0,43,43,183,0,0.021505376,0.234972678
Singapore Chinese Girls’,2010,29,29,39,0,54,48,48,1,0.743589744,1.125
South View,2010,42,34,33,1,121,33,33,1,1.272727273,3.666666667
St. Andrew’s Junior,2010,79,72,72,1,79,71,71,1,1.097222222,1.112676056
St. Anthony’s,2010,50,50,78,0,129,106,106,1,0.641025641,1.216981132
St. Anthony’s Canossian,2010,28,28,73,0,92,92,118,0,0.383561644,0.779661017
St. Gabriel’s,2010,23,23,51,0,84,79,79,1,0.450980392,1.063291139
St. Hilda’s,2010,68,43,43,1,127,43,43,1,1.581395349,2.953488372
St. Joseph’s Institution Junior,2010,80,62,61,1,82,62,62,1,1.31147541,1.322580645
St. Margaret’s,2010,32,32,70,0,130,107,107,1,0.457142857,1.214953271
St. Stephen’s,2010,56,56,72,0,100,91,91,1,0.777777778,1.098901099
Stamford,2010,0,0,65,0,54,54,130,0,0,0.415384615
Tampines,2010,0,0,64,0,89,89,127,0,0,0.700787402
Tampines North,2010,2,2,55,0,58,58,108,0,0.036363636,0.537037037
Tanjong Katong,2010,12,11,68,0,111,112,125,0,0.176470588,0.888
Tao Nan,2010,114,63,62,1,99,62,62,1,1.838709677,1.596774194
Teck Ghee,2010,0,0,70,0,107,107,140,0,0,0.764285714
Teck Whye,2010,1,1,92,0,36,36,182,0,0.010869565,0.197802198
Telok Kurau,2010,1,1,48,0,105,95,95,1,0.020833333,1.105263158
Temasek,2010,50,50,58,0,74,68,68,1,0.862068966,1.088235294
Townsville,2010,0,0,75,0,98,98,151,0,0,0.649006623
Unity,2010,0,0,58,0,126,116,116,1,0,1.086206897
Wellington,2010,2,2,75,0,75,75,147,0,0.026666667,0.510204082
West Grove,2010,115,74,74,1,266,74,74,1,1.554054054,3.594594595
West View,2010,0,0,93,0,39,39,186,0,0,0.209677419
White Sands,2010,8,8,50,0,98,91,91,1,0.16,1.076923077
Woodgrove,2010,25,25,65,0,102,102,104,0,0.384615385,0.980769231
Woodlands,2010,0,0,68,0,87,87,136,0,0,0.639705882
Woodlands Ring,2010,5,5,63,0,124,120,120,1,0.079365079,1.033333333
Xinghua,2010,0,0,73,0,51,51,145,0,0,0.351724138
Xingnan,2010,1,1,88,0,168,168,175,0,0.011363636,0.96
Xinmin,2010,8,8,39,0,93,70,70,1,0.205128205,1.328571429
Xishan,2010,0,0,59,0,47,47,118,0,0,0.398305085
Yangzheng,2010,7,7,59,0,106,106,110,0,0.118644068,0.963636364
Yew Tee,2010,11,11,63,0,157,114,114,1,0.174603175,1.377192982
Yio Chu Kang,2010,0,0,56,0,30,30,112,0,0,0.267857143
Yishun,2010,0,0,62,0,74,74,125,0,0,0.592
Yu Neng,2010,23,23,24,0,71,24,24,1,0.958333333,2.958333333
Yuhua,2010,2,2,91,0,73,73,180,0,0.021978022,0.405555556
Yumin,2010,1,1,52,0,57,57,102,0,0.019230769,0.558823529
Zhangde,2010,4,4,64,0,153,123,123,1,0.0625,1.243902439
Zhenghua,2010,1,1,78,0,101,101,154,0,0.012820513,0.655844156
Zhonghua,2010,1,1,80,0,37,37,159,0,0.0125,0.232704403
Admiralty,2011,31,31,45,0,143,61,61,1,0.688888889,2.344262295
Ahmad Ibrahim,2011,1,1,61,0,72,72,124,0,0.016393443,0.580645161
Ai Tong,2011,61,20,20,1,68,20,20,1,3.05,3.4
Anchor Green,2011,1,1,91,0,141,141,181,0,0.010989011,0.779005525
Anderson,2011,31,31,32,0,96,36,36,1,0.96875,2.666666667
Ang Mo Kio,2011,1,1,65,0,96,95,129,0,0.015384615,0.744186047
Anglo-Chinese (Junior),2011,80,64,64,1,79,63,63,1,1.25,1.253968254
Anglo-Chinese (Primary),2011,35,25,25,1,30,24,24,1,1.4,1.25
Angsana,2011,0,0,68,0,20,20,135,0,0,0.148148148
Beacon,2011,7,7,61,0,145,116,116,1,0.114754098,1.25
Bedok Green,2011,2,2,66,0,103,103,131,0,0.03030303,0.786259542
Bendemeer,2011,0,0,54,0,58,58,109,0,0,0.532110092
Blangah Rise,2011,1,1,73,0,17,17,148,0,0.01369863,0.114864865
Boon Lay Garden,2011,1,1,93,0,71,70,186,0,0.010752688,0.38172043
Bukit Panjang,2011,51,40,41,1,101,44,44,1,1.243902439,2.295454545
Bukit Timah,2011,0,0,65,0,46,46,131,0,0,0.351145038
Bukit View,2011,0,0,67,0,87,87,134,0,0,0.649253731
CHIJ (Katong),2011,55,55,77,0,103,98,98,1,0.714285714,1.051020408
CHIJ (Kellock),2011,27,27,71,0,135,115,115,1,0.38028169,1.173913043
CHIJ (Toa Payoh),2011,63,48,48,1,60,50,50,1,1.3125,1.2
CHIJ Our Lady Queen of Peace,2011,50,49,62,0,92,74,74,1,0.806451613,1.243243243
CHIJ Our Lady of Good Counsel,2011,35,35,45,0,60,57,57,1,0.777777778,1.052631579
CHIJ Our Lady of the Nativity,2011,51,51,79,0,127,109,109,1,0.64556962,1.165137615
CHIJ St. Nicholas Girls’,2011,40,27,26,1,57,26,26,1,1.538461538,2.192307692
Canberra,2011,31,31,51,0,158,71,71,1,0.607843137,2.225352113
Canossa Catholic,2011,4,4,45,0,30,30,85,0,0.088888889,0.352941176
Cantonment,2011,0,0,95,0,96,96,189,0,0,0.507936508
Casuarina,2011,0,0,48,0,55,55,96,0,0,0.572916667
Catholic High,2011,44,26,26,1,61,25,25,1,1.692307692,2.44
Cedar,2011,3,3,33,0,58,58,65,0,0.090909091,0.892307692
Changkat,2011,3,3,58,0,82,82,113,0,0.051724138,0.725663717
Chongfu,2011,91,68,68,1,104,67,67,1,1.338235294,1.552238806
Chongzheng,2011,11,11,36,0,108,62,62,1,0.305555556,1.741935484
Chua Chu Kang,2011,2,2,67,0,138,131,131,1,0.029850746,1.053435115
Clementi,2011,7,7,72,0,138,138,138,0,0.097222222,1
Compassvale,2011,35,34,78,0,134,121,121,1,0.448717949,1.107438017
Concord,2011,1,1,58,0,87,87,115,0,0.017241379,0.756521739
Corporation,2011,26,23,86,0,84,84,151,0,0.302325581,0.556291391
