school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Jurong West,2025,1,1,20,0,77,5,59,1,0.05,1.305084746
Keming,2025,21,21,33,0,125,77,77,1,0.636363636,1.623376623
Kheng Cheng,2025,1,1,54,0,173,10,162,1,0.018518519,1.067901235
Kong Hwa,2025,49,24,24,1,118,49,49,1,2.041666667,2.408163265
Kuo Chuan Presbyterian,2025,32,0,30,1,113,59,59,1,1.066666667,1.915254237
Lakeside,2025,1,1,44,0,97,97,130,0,0.022727273,0.746153846
Lianhua,2025,0,0,81,0,26,26,242,0,0,0.107438017
Maha Bodhi,2025,46,3,23,1,125,49,49,1,2,2.551020408
Maris Stella High,2025,53,31,31,1,124,62,62,1,1.709677419,2
Marsiling,2025,0,0,35,0,99,99,104,0,0,0.951923077
Marymount Convent,2025,3,3,70,0,55,55,206,0,0.042857143,0.266990291
Mayflower,2025,0,0,30,0,26,26,91,0,0,0.285714286
Mee Toh,2025,37,37,52,0,153,119,119,1,0.711538462,1.285714286
Meridian,2025,0,0,48,0,29,29,146,0,0,0.198630137
Methodist Girls’,2025,54,22,22,1,78,45,45,1,2.454545455,1.733333333
Montfort Junior,2025,5,5,41,0,11,11,118,0,0.12195122,0.093220339
Nan Chiau,2025,102,42,42,1,269,85,85,1,2.428571429,3.164705882
Nan Hua,2025,40,21,21,1,166,41,41,1,1.904761905,4.048780488
Nanyang,2025,53,20,20,1,63,42,42,1,2.65,1.5
Naval Base,2025,1,1,20,0,64,2,60,1,0.05,1.066666667
New Town,2025,1,1,60,0,21,21,178,0,0.016666667,0.117977528
Ngee Ann,2025,2,2,42,0,148,5,127,1,0.047619048,1.165354331
North Spring,2025,0,0,40,0,41,41,120,0,0,0.341666667
North View,2025,1,1,20,0,109,60,60,1,0.05,1.816666667
North Vista,2025,0,0,45,0,35,35,136,0,0,0.257352941
Northland,2025,29,20,20,1,142,41,41,1,1.45,3.463414634
Northoaks,2025,0,0,67,0,10,10,201,0,0,0.049751244
Northshore,2025,1,1,29,0,128,86,86,1,0.034482759,1.488372093
Oasis,2025,0,0,35,0,59,59,105,0,0,0.561904762
Opera Estate,2025,0,0,35,0,83,83,104,0,0,0.798076923
Palm View,2025,0,0,55,0,84,84,165,0,0,0.509090909
