,school,year,GSI,good_school_75,good_school_80,good_school_85,good_school_90
448,Mayflower,2015,-0.5183009652761035,0,0,0,0
449,Mee Toh,2015,0.5823864712131823,1,1,0,0
450,Meridian,2015,-0.6718824923575039,0,0,0,0
451,Methodist Girls',2015,0.7057915935707321,1,1,1,0
452,Montfort Junior,2015,-0.8191763284721666,0,0,0,0
453,Nan Chiau,2015,0.8248274415188264,1,1,1,1
454,Nan Hua,2015,1.2190147498731663,1,1,1,1
455,Nanyang,2015,1.1933031895883375,1,1,1,1
456,Naval Base,2015,-0.6755857053276194,0,0,0,0
457,New Town,2015,-0.5278638849003026,0,0,0,0
458,Ngee Ann,2015,0.31564132928657573,0,0,0,0
459,North Spring,2015,-0.7270258896611929,0,0,0,0
460,North View,2015,-0.40591713117976086,0,0,0,0
461,North Vista,2015,-0.06181980763177316,0,0,0,0
462,Northland,2015,0.6131761559617805,1,1,0,0
463,Northoaks,2015,-0.6178388996652274,0,0,0,0
464,Oasis,2015,-0.5496120816690832,0,0,0,0
465,Opera Estate,2015,-0.4426603966432359,0,0,0,0
466,Palm View,2015,-0.44952246572240345,0,0,0,0
467,Park View,2015,-0.71509866767035,0,0,0,0
468,Pasir Ris,2015,0.5302717855406059,1,0,0,0
469,Paya Lebar Methodist Girls',2015,0.5126704702148679,1,0,0,0
470,Pei Chun Public,2015,0.6865265501369702,1,1,1,0
471,Pei Hwa Presbyterian,2015,0.7458526997800712,1,1,1,0
472,Pei Tong,2015,-0.5570264944235193,0,0,0,0
473,Peiying,2015,-0.5990965911079495,0,0,0,0
474,Pioneer,2015,-0.7857224291815234,0,0,0,0
475,Poi Ching,2015,0.7469177069628699,1,1,1,1
476,Princess Elizabeth,2015,0.42519265974480014,0,0,0,0
477,Punggol,2015,-0.22685068254429352,0,0,0,0
478,Punggol Cove,2015,-0.769163324509013,0,0,0,0
479,Punggol Green,2015,-0.1229041670818798,0,0,0,0
480,Punggol View,2015,0.2521962378062038,0,0,0,0
481,Qifa,2015,0.11683588594333726,0,0,0,0
